nominal;data;curs;cdx
1;21.10.2023;95.9053;Доллар США
1;20.10.2023;97.3074;Доллар США
1;19.10.2023;97.3724;Доллар США
1;18.10.2023;97.3458;Доллар США
1;17.10.2023;97.2865;Доллар США
1;14.10.2023;97.3075;Доллар США
1;13.10.2023;96.9948;Доллар США
