nominal;data;curs;cdx
10;21.10.2023;34.264;Турецкая лира
10;20.10.2023;34.7637;Турецкая лира
10;19.10.2023;34.9043;Турецкая лира
10;18.10.2023;34.9392;Турецкая лира
10;17.10.2023;35.0343;Турецкая лира
10;14.10.2023;35.0876;Турецкая лира
10;13.10.2023;34.998;Турецкая лира
10;12.10.2023;34.5;Турецкая лира
