nominal;data;curs;cdx
1;21.10.2023;101.4257;Евро
1;20.10.2023;102.6255;Евро
1;19.10.2023;102.9059;Евро
1;18.10.2023;102.7527;Евро
1;17.10.2023;102.52;Евро
1;14.10.2023;102.5523;Евро
1;13.10.2023;103.035;Евро
